year,station,do,ph,co,bod,na,tc,wqi
2014,1393,6.7,7.5,203,1.8965,0.1,27,93.82
2014,1399,5.7,7.2,189,2,0.2,8391,76.96
2014,1475,6.3,6.9,179,1.7,0.1,5330,79.28
2014,3181,5.8,6.9,64,3.8,0.5,8443,69.34
2014,3182,5.8,7.3,83,1.9,0.4,5500,77.14
2014,1400,5.5,7.4,81,1.5,0.1,4049,77.14
2014,1476,6.1,6.7,308,1.4,0.3,5672,75.44
2014,3185,6.4,6.7,414,1,0.2,9423,75.44
2014,3186,6.4,7.6,305,2.2,0.1,4990,82.04
2014,3187,6.3,7.6,77,2.3,0.1,4301,82.76
2014,1543,7.1,7.1,176,1.2,0.1,7817,82.58
2014,1548,6.7,6.4,93,1.4,0.1,3433,66.26
2014,2276,7.4,6.8,121,1.7,0.4,18125,68.22
2014,2275,6.9,7,620,1.1,0.1,6300,82.04
2014,3189,6,7.5,72,1.6,0.2,9517,82.94
2014,1546,7.3,7,247,1.5,0.2,2453,82.4
2014,2270,7.3,7,188,1,0.1,3048,82.58
2014,2272,7,6.9,224,1.2,0.3,6742,79.28
2014,1545,7.3,6.7,144,1.5,0.1,3052,76.16
2014,2274,5.3,6.8,319,1.8,0.3,10250,61.88
2014,2271,6.3,6.4,79,1.6,1.4,12842,55.02
2014,2273,5.4,7.6,39,1.4,0.1,6367,77.32
2014,3183,2.2,6.5,322,4.7,1.2,14920,28.12
2014,3184,5.2,7.1,192,2.6,0.3,8925,76.96
2014,3190,5.6,7.5,282,1.8,0.1,5082,76.78
2014,3191,5.5,7.4,275,1.5,0.1,8625,76.78
2014,1547,7.3,6.7,55,1.4,0.1,4003,76.34
2014,3188,6.5,7.5,415,2,0.1,1538,82.04
2014,1544,7.2,6.3,100,1.5,0.1,13575,55.02
2014,2651,6.6,7.8,95,4.9,0.2,36,89.32
2014,1461,6.9,7.9,99,5,0.4,34,89.32
2014,2653,6.8,7.7,85,5.2,0.3,23,89.32
2014,2654,6.7,7.8,80,4.9,0.3,29,89.32
2014,1092,5.1,7.3,3937,10.3,1.8,83,72.68
2014,2670,5.6,7.9,468,3.6,1.9,164,77.36
2014,1152,6.4,7.6,541,5.7,0.6,45,88.6
2014,2198,5.5,7.4,6166,7.7,1.1,67,72.68
2014,2671,5.3,7.7,24062,9.9,1.2,304,72.68
2014,2672,6.7,7.6,83,4.8,0.2,76,83.7
2014,2168,3.6,7.4,4424,31.3,2.2,474,61.44
2014,2676,7.2,7.7,226,3.1,0.8,130,83.34
2014,1151,5.9,7.4,268,6.4,0.4,68,73.04
2014,1462,5.4,7.5,2413,7.4,1.5,116,72.68
2014,2685,5.8,7.3,384,5.4,0.6,78,77.36
2014,2686,5.9,7.4,269,5.1,1.2,60,77.72
